Comment,Designator,Footprint,LCSC Part #,MPN,Quantity
100nF,C1,C_0603_1608Metric,C14663,YAGEO CC0603KRX7R9BB104,1
MODULE,J1,JST_SH_SM08B-SRSS-TB_1x08-1MP_P1.00mm_Horizontal,C160407,JST SM08B-SRSS-TB(LF)(SN),1
10k,"R1,R2,R4",R_0603_1608Metric,C25804,UNI-ROYAL 0603WAF1002T5E,3
100k,R3,R_0603_1608Metric,C25803,UNI-ROYAL 0603WAF1003T5E,1
KEY1,SW1,Kailh_CPG151101S11_MX_Hotswap_Bottom,C41430893,Kailh CPG151101S11,1
KEY2,SW2,Kailh_CPG151101S11_MX_Hotswap_Bottom,C41430893,Kailh CPG151101S11,1
