Designator,Mid X,Mid Y,Layer,Rotation
C1,18.5000mm,18.8250mm,Bottom,0.0
C2,19.0000mm,12.0000mm,Bottom,0.0
C3,38.0500mm,12.0000mm,Bottom,0.0
J1,26.0000mm,20.8250mm,Bottom,0.0
R1,33.5000mm,21.0000mm,Bottom,0.0
R2,33.5000mm,19.0000mm,Bottom,0.0
U1,16.4750mm,9.5000mm,Bottom,180.0
U2,35.5250mm,9.5000mm,Bottom,180.0
