Designator,Mid X,Mid Y,Layer,Rotation
J_MOD,17.5000mm,45.0000mm,Bottom,0.0
J_P1,32.7400mm,40.6100mm,Top,0.0
J_P2,2.2600mm,40.6100mm,Top,0.0
