Comment,Designator,Footprint,LCSC Part #,MPN,Quantity
MODULE,J_MOD,JST_SH_SM08B-SRSS-TB_1x08-1MP_P1.00mm_Horizontal,C160407,JST SM08B-SRSS-TB(LF)(SN),1
WAVESHARE_P1,J_P1,PinSocket_1x14_P2.54mm_Vertical,C2897377,HCTL PM254-1-14-Z-8.5,1
WAVESHARE_P2,J_P2,PinSocket_1x14_P2.54mm_Vertical,C2897377,HCTL PM254-1-14-Z-8.5,1
